"restaurant_id","rest_name","city","total_revenue"
176,"Delhi Darbar 176","Chennai","13877.56"
92,"Burger Factory 92","Mumbai","13162.58"
288,"Urban Tadka 288","Delhi","12386.44"
41,"Golden Spoon 41","Delhi","11065.40"
71,"Saffron Delight 71","Mumbai","11001.43"
212,"Saffron Delight 212","Bangalore","10926.50"
213,"Pizza Junction 213","Bangalore","9479.48"
200,"Chai & Chat 200","Chennai","9419.76"
147,"The Food Studio 147","Kolkata","9413.07"
252,"Mumbai Masala 252","Chennai","9088.22"
295,"Spice Villa 295","Chennai","8926.39"
161,"Pizza Junction 161","Kolkata","8906.70"
253,"Spice Villa 253","Kolkata","8782.96"
56,"Kolkata Kitchen 56","Kolkata","8725.18"
112,"Punjabi Dhaba 112","Mumbai","8374.05"
86,"The Food Studio 86","Delhi","8230.37"
215,"Dragon Wok 215","Bangalore","8108.65"
201,"Biryani House 201","Bangalore","8083.05"
156,"Pizza Junction 156","Chennai","7956.84"
146,"Mumbai Masala 146","Chennai","7868.08"
296,"Bombay Bistro 296","Delhi","7841.98"
276,"Punjabi Dhaba 276","Mumbai","7791.88"
120,"Delhi Darbar 120","Bangalore","7763.58"
285,"Biryani House 285","Mumbai","7662.93"
284,"Chai & Chat 284","Chennai","7649.69"
242,"Dragon Wok 242","Kolkata","7591.44"
249,"Golden Spoon 249","Bangalore","7541.99"
158,"Dragon Wok 158","Delhi","7537.08"
168,"Annapurna Bhavan 168","Bangalore","7496.39"
237,"Mughal Mahal 237","Bangalore","7457.34"
155,"Delhi Darbar 155","Delhi","7374.86"
74,"Golden Spoon 74","Kolkata","7271.42"
174,"Delhi Darbar 174","Delhi","7169.82"
55,"Masala Magic 55","Chennai","7137.17"
103,"The Curry Leaf 103","Delhi","7027.01"
93,"South Spice 93","Bangalore","6982.75"
300,"Annapurna Bhavan 300","Kolkata","6956.08"
142,"The Curry Leaf 142","Mumbai","6948.59"
259,"Urban Tadka 259","Kolkata","6866.20"
63,"Masala Magic 63","Chennai","6786.59"
172,"Chutney Express 172","Mumbai","6740.17"
184,"Dragon Wok 184","Delhi","6702.09"
136,"Punjabi Dhaba 136","Mumbai","6686.82"
35,"Flavours of India 35","Delhi","6658.59"
177,"Chutney Express 177","Mumbai","6648.56"
233,"Punjabi Dhaba 233","Mumbai","6567.24"
291,"South Spice 291","Mumbai","6539.18"
164,"Mughal Mahal 164","Mumbai","6519.98"
269,"Urban Tadka 269","Kolkata","6514.41"
90,"The Food Studio 90","Mumbai","6476.27"
88,"Burger Factory 88","Kolkata","6297.51"
218,"Annapurna Bhavan 218","Chennai","6292.83"
196,"Punjabi Dhaba 196","Bangalore","6271.64"
69,"Masala Magic 69","Chennai","6266.34"
293,"Golden Spoon 293","Kolkata","6241.83"
135,"Mumbai Masala 135","Mumbai","6176.70"
292,"Burger Factory 292","Chennai","6170.30"
52,"Dragon Wok 52","Mumbai","6141.66"
12,"Curry Kingdom 12","Chennai","6136.88"
85,"The Hungry Panda 85","Bangalore","6110.71"
79,"Dragon Wok 79","Kolkata","6104.44"
104,"The Food Studio 104","Chennai","6095.20"
251,"Flavours of India 251","Bangalore","6030.77"
91,"Curry Kingdom 91","Kolkata","6016.86"
60,"Chai & Chat 60","Delhi","6008.48"
230,"The Curry Leaf 230","Bangalore","5974.01"
236,"Burger Factory 236","Kolkata","5930.62"
268,"The Hungry Panda 268","Bangalore","5905.06"
122,"Kolkata Kitchen 122","Mumbai","5891.62"
84,"Dragon Wok 84","Delhi","5886.62"
24,"Delhi Darbar 24","Kolkata","5863.55"
219,"South Spice 219","Delhi","5813.48"
34,"South Spice 34","Kolkata","5793.37"
96,"Mumbai Masala 96","Mumbai","5772.33"
3,"South Spice 3","Kolkata","5731.05"
44,"Golden Spoon 44","Delhi","5708.91"
267,"Taste of Punjab 267","Chennai","5697.45"
203,"Golden Spoon 203","Kolkata","5692.39"
193,"The Curry Leaf 193","Chennai","5691.44"
73,"Kolkata Kitchen 73","Bangalore","5650.35"
133,"Biryani House 133","Bangalore","5538.42"
228,"Pizza Junction 228","Delhi","5537.71"
145,"South Spice 145","Kolkata","5493.93"
143,"Royal Tandoor 143","Kolkata","5409.79"
226,"Mumbai Masala 226","Mumbai","5377.35"
40,"Pizza Junction 40","Kolkata","5333.85"
243,"South Spice 243","Bangalore","5328.49"
179,"Curry Kingdom 179","Kolkata","5274.47"
77,"The Food Studio 77","Kolkata","5228.25"
214,"Chai & Chat 214","Chennai","5223.16"
223,"Annapurna Bhavan 223","Chennai","5209.31"
54,"Royal Tandoor 54","Bangalore","5206.84"
167,"Taste of Punjab 167","Chennai","5153.39"
46,"The Hungry Panda 46","Kolkata","5077.01"
67,"Golden Spoon 67","Mumbai","5049.71"
232,"Caf̩ Masaledar 232","Bangalore","4988.42"
238,"Masala Magic 238","Kolkata","4949.20"
25,"Chai & Chat 25","Chennai","4910.43"
150,"Rasoi Ghar 150","Bangalore","4845.14"
255,"Golden Spoon 255","Chennai","4782.22"
31,"Bombay Bistro 31","Chennai","4735.75"
127,"Tandoori Nights 127","Chennai","4727.45"
274,"Taste of Punjab 274","Chennai","4711.23"
117,"Masala Magic 117","Delhi","4704.60"
278,"Curry Kingdom 278","Chennai","4661.41"
94,"The Food Studio 94","Delhi","4605.59"
115,"Annapurna Bhavan 115","Kolkata","4588.65"
286,"Urban Tadka 286","Mumbai","4587.98"
205,"Mughal Mahal 205","Bangalore","4586.87"
297,"Dragon Wok 297","Bangalore","4564.41"
140,"Golden Spoon 140","Chennai","4557.62"
16,"Taste of Punjab 16","Delhi","4522.62"
95,"Rasoi Ghar 95","Bangalore","4502.08"
21,"Masala Magic 21","Kolkata","4496.29"
148,"Pizza Junction 148","Chennai","4484.77"
195,"Flavours of India 195","Mumbai","4410.94"
47,"Caf̩ Masaledar 47","Kolkata","4406.02"
239,"Biryani House 239","Kolkata","4390.06"
4,"Royal Tandoor 4","Delhi","4359.09"
220,"Dragon Wok 220","Bangalore","4343.35"
99,"The Food Studio 99","Mumbai","4317.79"
126,"Annapurna Bhavan 126","Bangalore","4305.80"
159,"Spice Villa 159","Bangalore","4300.69"
118,"Chutney Express 118","Bangalore","4286.45"
181,"Delhi Darbar 181","Delhi","4215.27"
207,"Pizza Junction 207","Mumbai","4200.31"
244,"Mumbai Masala 244","Mumbai","4171.86"
263,"Rasoi Ghar 263","Chennai","4130.07"
154,"The Curry Leaf 154","Chennai","4112.64"
250,"Rasoi Ghar 250","Kolkata","4065.79"
248,"Taste of Punjab 248","Mumbai","4061.20"
198,"Delhi Darbar 198","Delhi","4029.99"
53,"Chai & Chat 53","Delhi","3991.22"
188,"Rasoi Ghar 188","Chennai","3982.18"
206,"Curry Kingdom 206","Mumbai","3953.87"
290,"Saffron Delight 290","Mumbai","3921.07"
83,"Mumbai Masala 83","Delhi","3890.40"
13,"Rasoi Ghar 13","Kolkata","3882.11"
28,"Dragon Wok 28","Chennai","3879.29"
261,"Curry Kingdom 261","Mumbai","3820.41"
199,"Golden Spoon 199","Kolkata","3795.31"
80,"Masala Magic 80","Mumbai","3760.65"
166,"Spice Villa 166","Delhi","3753.88"
51,"Flavours of India 51","Delhi","3746.74"
66,"Caf̩ Masaledar 66","Mumbai","3746.02"
225,"Royal Tandoor 225","Kolkata","3702.71"
235,"Biryani House 235","Delhi","3686.64"
240,"Kolkata Kitchen 240","Bangalore","3650.35"
173,"Chai & Chat 173","Delhi","3638.62"
182,"Chai & Chat 182","Mumbai","3607.14"
61,"Flavours of India 61","Delhi","3576.26"
265,"Burger Factory 265","Kolkata","3560.02"
254,"Delhi Darbar 254","Kolkata","3526.72"
280,"Taste of Punjab 280","Mumbai","3497.93"
134,"Burger Factory 134","Bangalore","3494.25"
137,"The Curry Leaf 137","Chennai","3491.64"
48,"Madras Cafe 48","Bangalore","3476.59"
162,"Masala Magic 162","Chennai","3466.00"
157,"Rasoi Ghar 157","Chennai","3459.53"
124,"Taste of Punjab 124","Delhi","3449.34"
272,"Annapurna Bhavan 272","Chennai","3447.26"
20,"Pizza Junction 20","Mumbai","3411.51"
186,"Flavours of India 186","Delhi","3398.63"
109,"Madras Cafe 109","Delhi","3397.43"
229,"Mughal Mahal 229","Kolkata","3393.46"
9,"Delhi Darbar 9","Bangalore","3387.91"
70,"Kolkata Kitchen 70","Kolkata","3384.87"
128,"Bombay Bistro 128","Kolkata","3377.89"
19,"Chai & Chat 19","Delhi","3342.24"
26,"Chai & Chat 26","Chennai","3329.29"
138,"Biryani House 138","Chennai","3294.28"
211,"Bombay Bistro 211","Bangalore","3284.93"
191,"Rasoi Ghar 191","Kolkata","3284.28"
38,"Curry Kingdom 38","Bangalore","3254.68"
170,"Rasoi Ghar 170","Chennai","3238.72"
287,"Curry Kingdom 287","Delhi","3219.81"
175,"Saffron Delight 175","Chennai","3214.93"
97,"Bombay Bistro 97","Chennai","3167.79"
17,"Chai & Chat 17","Bangalore","3156.61"
102,"Caf̩ Masaledar 102","Delhi","3135.88"
169,"Flavours of India 169","Chennai","3132.70"
256,"Pizza Junction 256","Mumbai","3077.58"
277,"Saffron Delight 277","Kolkata","3062.05"
294,"Chai & Chat 294","Bangalore","3020.34"
190,"Punjabi Dhaba 190","Kolkata","2962.98"
187,"Curry Kingdom 187","Chennai","2892.83"
204,"Kolkata Kitchen 204","Kolkata","2883.38"
257,"Madras Cafe 257","Chennai","2874.00"
289,"Royal Tandoor 289","Bangalore","2857.70"
27,"The Curry Leaf 27","Kolkata","2846.15"
32,"Annapurna Bhavan 32","Kolkata","2814.75"
222,"Punjabi Dhaba 222","Kolkata","2798.23"
121,"Spice Villa 121","Kolkata","2757.35"
33,"Pizza Junction 33","Delhi","2755.36"
132,"The Hungry Panda 132","Chennai","2712.52"
185,"South Spice 185","Bangalore","2695.82"
260,"Biryani House 260","Mumbai","2637.30"
270,"Golden Spoon 270","Mumbai","2633.55"
98,"Pizza Junction 98","Delhi","2588.98"
101,"Saffron Delight 101","Delhi","2558.36"
18,"Delhi Darbar 18","Bangalore","2543.11"
180,"Dragon Wok 180","Chennai","2531.56"
183,"Urban Tadka 183","Kolkata","2517.46"
111,"Caf̩ Masaledar 111","Chennai","2506.03"
59,"Mughal Mahal 59","Delhi","2434.58"
58,"Curry Kingdom 58","Chennai","2434.00"
264,"Pizza Junction 264","Mumbai","2424.52"
130,"Tandoori Nights 130","Kolkata","2416.39"
275,"Golden Spoon 275","Chennai","2374.23"
125,"The Hungry Panda 125","Bangalore","2361.01"
100,"Chutney Express 100","Kolkata","2318.46"
266,"Taste of Punjab 266","Delhi","2236.04"
202,"The Curry Leaf 202","Bangalore","2233.16"
141,"Madras Cafe 141","Delhi","2221.07"
43,"The Food Studio 43","Kolkata","2182.36"
171,"Golden Spoon 171","Delhi","2138.26"
160,"Taste of Punjab 160","Chennai","2134.64"
87,"Bombay Bistro 87","Chennai","2129.05"
163,"Flavours of India 163","Chennai","2120.49"
8,"Bombay Bistro 8","Chennai","2117.14"
108,"Taste of Punjab 108","Mumbai","2115.30"
14,"Madras Cafe 14","Delhi","2105.12"
119,"The Hungry Panda 119","Delhi","2079.63"
123,"South Spice 123","Bangalore","2077.05"
107,"Kolkata Kitchen 107","Bangalore","2029.09"
50,"Mughal Mahal 50","Delhi","2013.08"
281,"Masala Magic 281","Bangalore","2012.05"
62,"Pizza Junction 62","Chennai","1982.68"
227,"South Spice 227","Delhi","1919.07"
149,"Golden Spoon 149","Chennai","1899.37"
299,"Delhi Darbar 299","Chennai","1864.71"
45,"Saffron Delight 45","Chennai","1854.71"
37,"Masala Magic 37","Kolkata","1842.53"
139,"Dragon Wok 139","Mumbai","1830.72"
6,"Madras Cafe 6","Kolkata","1827.22"
110,"Taste of Punjab 110","Chennai","1825.52"
105,"Caf̩ Masaledar 105","Mumbai","1820.26"
129,"Pizza Junction 129","Delhi","1771.41"
194,"Annapurna Bhavan 194","Bangalore","1689.42"
64,"Biryani House 64","Chennai","1661.39"
210,"Curry Kingdom 210","Mumbai","1572.84"
247,"Tandoori Nights 247","Bangalore","1546.11"
11,"Punjabi Dhaba 11","Delhi","1506.56"
7,"Dragon Wok 7","Bangalore","1494.43"
231,"Taste of Punjab 231","Chennai","1491.62"
15,"Mumbai Masala 15","Bangalore","1491.48"
72,"Royal Tandoor 72","Kolkata","1489.40"
1,"Chai & Chat 1","Delhi","1433.17"
192,"The Curry Leaf 192","Delhi","1334.08"
298,"Madras Cafe 298","Bangalore","1295.28"
144,"Curry Kingdom 144","Chennai","1287.38"
208,"Golden Spoon 208","Bangalore","1245.43"
39,"Delhi Darbar 39","Mumbai","1233.32"
258,"Chai & Chat 258","Kolkata","1215.24"
82,"Chai & Chat 82","Bangalore","1187.64"
75,"The Hungry Panda 75","Delhi","1137.96"
178,"Kolkata Kitchen 178","Delhi","1137.91"
22,"Rasoi Ghar 22","Delhi","1116.89"
23,"Punjabi Dhaba 23","Bangalore","1091.50"
197,"Burger Factory 197","Bangalore","1080.04"
36,"Mughal Mahal 36","Delhi","1072.45"
29,"The Curry Leaf 29","Mumbai","1037.13"
68,"Bombay Bistro 68","Chennai","994.49"
30,"Mumbai Masala 30","Delhi","990.89"
283,"Taste of Punjab 283","Kolkata","937.88"
165,"Caf̩ Masaledar 165","Chennai","936.52"
5,"The Hungry Panda 5","Kolkata","887.08"
151,"The Curry Leaf 151","Bangalore","876.22"
153,"The Food Studio 153","Kolkata","872.21"
131,"Mughal Mahal 131","Chennai","820.54"
2,"The Curry Leaf 2","Mumbai","681.24"
279,"Mughal Mahal 279","Delhi","662.54"
241,"Biryani House 241","Mumbai","657.54"
282,"Chai & Chat 282","Delhi","590.52"
216,"Flavours of India 216","Mumbai","582.41"
42,"The Food Studio 42","Bangalore","579.90"
152,"Urban Tadka 152","Mumbai","575.60"
113,"Delhi Darbar 113","Chennai","568.12"
217,"Taste of Punjab 217","Chennai","558.00"
10,"Curry Kingdom 10","Bangalore","474.81"
114,"Biryani House 114","Bangalore","452.08"
246,"Tandoori Nights 246","Chennai","450.15"
262,"Urban Tadka 262","Kolkata","353.45"
273,"Madras Cafe 273","Mumbai","337.59"
76,"Biryani House 76","Mumbai","313.04"
271,"Chutney Express 271","Bangalore","309.44"
116,"Curry Kingdom 116","Bangalore","299.43"
106,"Punjabi Dhaba 106","Mumbai","233.75"
245,"Mughal Mahal 245","Bangalore","178.45"
189,"Bombay Bistro 189","Kolkata","172.20"
224,"Dragon Wok 224","Chennai","137.26"
57,"Punjabi Dhaba 57","Chennai","74.42"
65,"Chai & Chat 65","Kolkata","22.25"
